sep=,
Depth,Clay,Quartz,Carbonates,GammaRay,NeutronPorosity,Resistivity,Density,GR_Dens,Porosity,Sonic,TOC,AvgPorosity,Photoelectric,RHOMAA,UMA,PEF_Dens,Well
4069.1,4.130027259,32.36672005,63.50325269,107.5858703,0.018980613,658.974866,2.590725578,41.52731234,0.041731638,62.2325699,3.504964793,0.030356125,2.880076198,2.640525578,7.679426648,1.111687097,Cerro Gordo
4070,5.35414668,67.47055675,27.17529657,92.8693125,0.015146552,666.9206718,2.588423636,35.87871445,0.043118279,62.03134283,3.507642483,0.029132415,2.46863106,2.636086795,6.566597625,0.953719873,Cerro Gordo
4071.1,5.765943604,82.43986878,11.79418761,111.0931347,0.012958689,729.0511019,2.587871077,42.92838842,0.043451151,62.09058075,3.598066293,0.02820492,2.832619857,2.633956694,7.528698888,1.094575337,Cerro Gordo
4071.5,2.152143556,59.76229804,38.0855584,126.7312023,0.017513132,712.8817523,2.587106533,48.98569141,0.043911719,62.57262257,3.59783994,0.030712425,3.113830357,2.637394901,8.295221001,1.203595723,Cerro Gordo
4072.7,7.483060577,75.4998366,17.01710282,129.9443078,0.020340915,707.1386432,2.585502908,50.25881323,0.044877851,65.97002574,3.743981523,0.032609383,2.88100502,2.638947991,7.683082756,1.114291928,Cerro Gordo
4073.12,1.991990391,87.09617549,10.91183412,129.9443078,0.020340915,707.1386432,2.585502908,50.25881323,0.044877851,65.97002574,3.743981523,0.032609383,2.88100502,2.638947991,7.683082756,1.114291928,Cerro Gordo
4073.2,2.652723956,74.05076637,23.29650968,131.1049852,0.019565383,724.2712003,2.584174607,50.73379518,0.045677965,67.18915106,3.822862718,0.032621674,2.936662869,2.637595721,7.827897913,1.136402649,Cerro Gordo
4075.1,0.818078468,87.9968765,11.18504503,131.3529328,0.050503471,712.7592396,2.5731047,51.0484213,0.052346612,68.06371296,3.846751418,0.051425042,2.827400784,2.658387338,7.642501694,1.098828502,Cerro Gordo
4075.3,4.015407015,82.65654911,13.32804388,123.5145047,0.053191812,736.9647787,2.568584957,48.08659506,0.055069391,68.01164256,3.877285373,0.054130602,2.800014639,2.65835258,7.575052322,1.090100069,Cerro Gordo
4086.5,0.773791162,96.68801598,2.538192858,108.9080672,0.052064372,101.5793726,2.542573442,42.83379407,0.070738974,63.04627425,1.70007943,0.061401673,3.851824172,2.643486247,10.40151546,1.514931332,Cerro Gordo
4088.1,3.446008552,69.56165033,26.99234112,121.560505,0.023536245,1120.083031,2.585275501,47.02032915,0.045014843,62.23176095,4.027442597,0.034275544,3.066455821,2.641540184,8.191255061,1.186123421,Cerro Gordo
4089.4,0.510771743,98.3584666,1.130761653,126.0739425,0.033435086,828.6831893,2.589439622,48.68773207,0.042506319,61.78015738,3.710157429,0.037970703,3.126577029,2.652173822,8.395895123,1.207433841,Cerro Gordo
4090.1,7.988037222,43.28854593,48.72341685,124.6135097,0.026859744,863.2566742,2.592684136,48.06351379,0.040551806,61.65340701,3.744668966,0.033705775,3.319762942,2.64823932,8.88988427,1.28043478,Cerro Gordo
4092.2,1.892168756,24.07979093,74.02804032,101.08362,0.024929428,2134.46274,2.610585555,38.72066931,0.029767738,61.99679448,4.651923966,0.027348583,3.6401255,2.655871289,9.755997464,1.394371271,Cerro Gordo
4093.2,7.025733269,30.46476037,62.50950636,96.601,0.023784209,1555.460135,2.603138577,37.1094343,0.034253947,62.99169658,4.385356694,0.029019078,3.110019679,2.651050542,8.322823324,1.194719216,Cerro Gordo
4093.8,0.93916814,77.90828273,21.15254913,93.93124025,0.036824375,1184.266531,2.596952134,36.16980036,0.037980724,63.56846255,4.142961792,0.037402549,3.172310972,2.659003079,8.539019577,1.221551576,Cerro Gordo
4094.7,2.122962377,39.97901312,57.8980245,91.60369223,0.05265614,878.0398369,2.58772446,35.39932232,0.043539555,64.64842355,3.897250607,0.048097848,3.397375893,2.667949228,9.210425412,1.312881624,Cerro Gordo
4095.3,1.084191888,95.63600482,3.279803294,94.94130777,0.052940503,816.5069005,2.584768501,36.73106807,0.045320291,65.32680144,3.856456062,0.049130397,3.433716842,2.666651764,9.308109029,1.328442698,Cerro Gordo
4096.2,2.414274478,63.95085025,33.63487527,108.11612,0.052441799,926.5601446,2.585288622,41.8197485,0.045006925,66.94855804,4.054567483,0.048724362,3.559360285,2.666487145,9.647688956,1.376774823,Cerro Gordo
4192.13,6.414764751,16.61408967,76.97114558,255.155125,0.024946451,478.4510849,2.658224514,95.98704836,0.001069569,59.22736647,3.053316575,0.01300801,5.233176104,2.680078998,14.08770602,1.96867348,Cerro Gordo
4192.3,6.026898407,56.37310826,37.59999333,200.976,0.021425261,409.6857839,2.653714577,75.73384181,0.003786436,59.66310799,2.920246652,0.012605849,4.914970693,2.674827195,13.20306225,1.852109769,Cerro Gordo
4192.7,20.87903415,33.52837601,45.59258984,173.154875,0.020456434,358.3178169,2.6486649,65.37439863,0.006828393,60.13837326,2.809844432,0.013642413,4.655151044,2.671467754,12.49355622,1.757546243,Cerro Gordo
