sep=,
Well,Depth,Clay,Quartz,Carbonates,TOC,Formation,Sonic,GammaRay,NeutronPorosity,Resistivity,Density,Photoelectric,AvgPorosity,RHOMAA,UMA,GR_Dens,PEF_Dens
Coyote-1,9519.46,74.39223809,23.87441404,1.733347869,2.754207,Tablazo,92.96815,149.3792,0.36725,9.673746,2.36925,11.0656,0.32809335,3.037857491,38.77491929,63.04915058,4.670507545
Coyote-1,9521,69.66673975,27.0664328,3.26682745,5.534315,Tablazo,92.96325,235.8714,0.3078,21.68583,2.2997,9.7877,0.2917497,2.835085703,31.57485262,102.5661608,4.25607688
Coyote-1,9526,0,12.92217327,87.07782673,3.533357,Tablazo,95.2645,162.7966,0.33095,10.45875,2.4164,10.7881,0.2924876,3.001943712,36.6383982,67.37154445,4.464534018
Coyote-1,9531,63.35136329,30.80914008,5.839496633,2.87574,Tablazo,86.0231,198.2346,0.3679,18.13261,2.41225,9.4004,0.3221173,3.083325035,33.21379385,82.17829827,3.896942688
Coyote-1,9541.2,43.67879053,49.5508326,6.770376862,2.319227,Tablazo,72.6719,224.1013,0.3263,22.21315,2.41155,6.8829,0.2896058,2.986995389,23.16130199,92.92832411,2.854139454
Coyote-1,9541.5,52.68886733,42.47224916,4.8388835,2.319227,Tablazo,72.6719,224.1013,0.3263,22.21315,2.41155,6.8829,0.2896058,2.986995389,23.16130199,92.92832411,2.854139454
Coyote-1,9546.85,20.14835824,71.20104723,8.650594524,3.524674,Tablazo,84.1183,202.6869,0.29975,32.84352,2.4524,3.3616,0.26305835,2.970848031,11.00827815,82.64838526,1.370738868
Coyote-1,9551,53.78187737,40.33640803,5.881714596,4.060194,Tablazo,84.1183,146.8038,0.26155,37.38167,2.48035,2.8559,0.22989345,2.922266471,9.048987884,59.18672768,1.151410083
Coyote-1,9561,37.17711172,57.61307902,5.209809264,3.794762,Tablazo,82.5152,276.6522,0.29045,23.82237,2.4278,4.9287,0.25963025,2.928495863,15.98671844,113.9518082,2.030109564
Coyote-1,9565,52.17342844,40.60410165,7.222469906,3.015918,Tablazo,82.7957,120.1039,0.29735,37.75203,2.5186,5.8317,0.25132215,3.028375756,19.45036646,47.68677043,2.315453029
Coyote-1,9570.98,69.38189845,22.20750552,8.410596026,1.896871,Tablazo,82.58075,147.1267,0.38355,13.573,2.4633,7.8213,0.32662455,3.173081897,28.36886319,59.7274794,3.175130922
Coyote-1,9575.71,58.37502719,38.29671525,3.328257559,2.929426,Tablazo,84.9451,157.5803,0.281,23.27163,2.54445,3.8926,0.2350974,3.019145967,12.79506354,61.93098705,1.529839454
Coyote-1,9581.25,70.32300022,27.15152829,2.525471494,2.709461,Tablazo,88.0337,146.3618,0.27885,19.82424,2.61365,3.3267,0.22334,3.077678778,11.05137313,55.99900522,1.272817707
Coyote-1,9584,57.74629581,17.61112555,24.64257863,2.704023,Tablazo,92.05395,154.7379,0.32585,11.8996,2.57125,6.6141,0.26507685,3.137978644,22.96017781,60.18002917,2.572328634
Coyote-1,9587,61.85714286,32.40659341,5.736263736,2.115669,Tablazo,91.861,159.4721,0.343,7.847215,2.53325,6.0726,0.28399335,3.141390726,21.28669793,62.95158393,2.397157801
Coyote-1,9591,68.07156185,28.44912743,3.479310723,2.391399,Tablazo,94.2587,159.6606,0.38475,7.380894,2.45535,8.748,0.32884655,3.168431079,31.758726,65.02559717,3.562832183
Coyote-1,9601.2,72.20806302,22.48609824,5.30583874,2.805124,Tablazo,95.7966,181.0933,0.38135,7.584125,2.4194,9.6462,0.33180345,3.124225275,34.67859054,74.85050012,3.987021576
Coyote-1,9608,81.77961492,17.6547373,0.565647775,2.738194,Tablazo,91.44295,186.7186,0.3636,10.89645,2.4371,6.547,0.3148762,3.097577109,23.05897941,76.61507529,2.686389561
Coyote-1,9610.85,75.4702453,24.5297547,0,1.99612,Tablazo,91.7713,196.1836,0.34355,13.15214,2.66905,5.7908,0.2639922,3.267706945,20.82034815,73.50315655,2.16961091
Coyote-1,9621.2,71.72322023,22.17786649,6.098913285,3.475386,Tablazo,90.71675,218.5623,0.2729,11.454,2.46545,4.3972,0.2406923,2.929981745,14.11908583,88.65006388,1.783528362
Coyote-1,9624,71.14341506,27.8476893,1.008895639,4.505528,Tablazo,89.1905,234.206,0.2834,19.85617,2.41015,2.7149,0.2568717,2.897586191,8.63226496,97.17486463,1.126444412
Coyote-1,9624.75,63.58730844,35.02050507,1.392186488,4.324658,Tablazo,89.9353,233.4606,0.3009,22.31981,2.4445,3.4459,0.2651248,2.96563988,11.28210634,95.50443854,1.409654326
Coyote-1,9628,46.85171185,46.47370126,6.674586888,4.051397,Tablazo,93.0365,235.7755,0.3212,21.57982,2.48505,3.6968,0.27456415,3.047114159,12.47450173,94.87756786,1.487615943
Coyote-1,9631.15,39.0275249,58.54128735,2.431187748,5.485024,Tablazo,90.0501,251.5671,0.25925,26.33577,2.41785,3.2159,0.2373835,2.85919135,10.04026541,104.0457845,1.330065968
